Date,User_Base_(Number_of_Users),Average_Time_Spent_(in_minutes),Content_Completion_Rate_(%),Student_Test_Score_Improvement_(%),Student_Satisfaction_(%),Revenue_Growth_(Year-over-Year_%),Funding_Round_Amount_(in_millions_USD),Market_Share_(%),Social_Media_Sentiment_Score,News_Article_Sentiment_Score,Number_of_Courses_Offered,Regional_Performance_Score,Focus_on_Adaptive_Learning_(Yes/No),Expert_Faculty_(Yes/No),Countries_of_Operation,Strategic_Partnerships_(Yes/No),Government_Initiatives_(Yes/No),Byju's_Future_Plans,Market_Size_(in_millions_USD)
01-01-2015,1370182.205,27.33258255,93.44425854,23.06374912,88.30372684,32.94372674,100.4499849,34.58873043,0.928316083,0.738760804,150.8602629,0.946175073, Yes                               , Yes                   ," India, USA, UK         ", Yes                          , Yes                         , Acquire smaller startup,575.9946823
02-01-2015,1496480.014,24.58770437,91.48787299,19.04135005,84.50670353,48.87380145,71.94516586,46.01342815,1.020545476,0.736868418,75.50527298,0.884108685, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                        , Launch new app     ,607.0094485
03-01-2015,1182786.913,20.79101356,97.08183528,8.595938163,83.39188213,41.69631342,73.69308954,35.57536072,0.929398188,0.750368778,141.1241964,0.937303187, Yes                               , Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         , Acquire smaller startup,570.8568126
04-01-2015,1189993.294,28.54171823,81.64991734,22.52409473,91.94713614,45.82846921,70.44497242,39.27674965,0.762428887,0.751413842,161.9338445,0.871896889, Yes                               ,No," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                        , Partner with schools,548.9644944
05-01-2015,1460686.475,29.7321935,97.90391616,17.56436545,90.79242373,42.57130864,33.74097094,38.33469779,0.883974452,0.729233067,149.8070614,0.870783551, Yes                               ,No," India, USA, UK         ", Yes                          , Yes                         ,Interactive learning,653.6324297
06-01-2015,1234433.257,26.24938176,88.47220244,14.7180922,88.63950237,42.69753042,96.61465169,47.65476621,0.865397787,0.671556553,142.7340918,0.848883524, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          ,No,Dynamic learning trials,562.4154827
07-01-2015,1271962.256,27.95774574,95.03981606,6.844159704,88.73777556,33.66728442,94.02938353,36.24847007,0.814276391,0.708061447,148.8727952,0.914138088, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Launch AI tutor    ,575.9953751
08-01-2015,1055693.492,25.48757935,94.70339275,21.74734302,91.30460672,54.36424364,78.89016369,31.85620274,0.871084642,0.501116932,133.1613291,0.8578861,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Partner with schools,632.0618383
09-01-2015,1090206.999,27.57380206,92.72883624,40.7520647,88.11301263,35.10890553,93.52560823,33.98346276,0.7627107,0.733612171,166.8092028,0.96546351,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Acquire competitor ,546.4531009
10-01-2015,1313409.127,29.25710311,95.05942136,32.58424516,93.12851019,40.51932857,87.03683964,29.22004703,0.810186562,0.677701496,119.1037037,0.922757972,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          ,No, Expand to Africa   ,601.1955274
11-01-2015,1563258.027,29.33152298,96.13022636,19.46081446,84.40382136,29.23508859,83.38348355,36.68797761,0.9647158,0.720821754,149.5455193,0.863262729,No, Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         ,Dynamic learning trials,570.6236129
12-01-2015,1436239.143,27.50223446,90.5385374,17.75103899,92.16258769,47.05558952,86.43292165,38.53603193,0.858787635,0.585479104,133.2848327,0.838588421,No, Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         , Expand to Europe   ,581.7427558
13-01-2015,1269597.116,25.64422864,81.13655194,24.83789638,95.08030123,29.5401804,70.27180291,28.24416344,0.843030295,0.668381573,127.4549371,0.904406873, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Acquire competitor ,591.015607
14-01-2015,1111656.226,21.47226443,96.07844157,34.78629321,87.53373711,33.05338038,91.9998597,34.15054623,1.008665534,0.593974166,91.01689181,0.827979111, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          ,No,Interactive learning,495.4308299
15-01-2015,1272944.698,21.95911067,89.28878854,23.93043672,92.97679923,60.05988918,89.34540875,37.55723082,0.718694026,0.733566124,126.924585,0.908004179, Yes                               ,No," India, USA, UK, Australia ", Yes                          , Yes                         ,Dynamic learning trials,605.0932975
16-01-2015,1191058.232,28.3311152,97.35085564,30.57608645,98.4865858,41.50034449,87.31503257,41.37438625,0.862872867,0.914372252,128.6193493,0.889593598,No, Yes                   ," India, USA, UK, Australia ", Yes                          , Yes                         ,Interactive learning,605.0755288
17-01-2015,1447186.574,22.83219311,85.95906029,19.87595399,89.78185165,38.93358996,86.95356436,40.53888281,0.839634715,0.703157868,161.9377915,0.958068159, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                        , Launch new app     ,495.6181218
18-01-2015,1233790.264,25.52802782,98.43702579,29.32088348,97.53591937,43.19683971,91.06085772,32.44591241,0.858956702,0.897490278,154.7916687,0.794342462, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore ", Yes                          , Yes                         ,Greedy gamification,609.2728549
19-01-2015,1071696.963,30.14318544,94.5501617,37.25500342,89.08793519,51.08924731,60.80464984,31.88424297,0.802465183,0.649565049,164.0349989,0.915445414, Yes                               , Yes                   ," India, USA, UK, Australia, Singapore, UAE ", Yes                          , Yes                         , Acquire competitor ,669.9385798
